# Merged GW transfer function
# Convention: T_Omega(k) = Omega_GW,0 / P_T
# h used for convention conversion = 0.675
# Kite used below k = 1.00000000e+08 Mpc^-1
# Saikawa-Shirai used above k = 1.00000000e+08 Mpc^-1
# 
# Columns:
# 1: k [Mpc^-1]
# 2: f [Hz]
# 3: Omega_GW / P_T
2.0209514018541347e-02 3.1249722095608142e-17 3.9925805645443058e-06
2.0258100572853849e-02 3.1324850884873226e-17 3.9883310477442574e-06
2.0306803936173130e-02 3.1400160294463815e-17 3.9840860539319639e-06
2.0355624389324704e-02 3.1475650758616917e-17 3.9798455782933753e-06
2.0404562213809221e-02 3.1551322712613525e-17 3.9756096160195654e-06
2.0453617691804118e-02 3.1627176592781115e-17 3.9713781623067038e-06
2.0502791106165211e-02 3.1703212836496154e-17 3.9671512123560964e-06
2.0552082740428343e-02 3.1779431882186621e-17 3.9630407620251173e-06
2.0601492878811026e-02 3.1855834169334532e-17 3.9589727426398099e-06
2.0651021806214063e-02 3.1932420138478496e-17 3.9549088990333335e-06
2.0700669808223205e-02 3.2009190231216222e-17 3.9508492269193026e-06
2.0750437171110789e-02 3.2086144890207108e-17 3.9467937220157090e-06
2.0800324181837398e-02 3.2163284559174747e-17 3.9427423800449634e-06
2.0850331128053491e-02 3.2240609682909497e-17 3.9386951967338660e-06
2.0900458298101093e-02 3.2318120707271080e-17 3.9346521678135824e-06
2.0950705981015449e-02 3.2395818079191120e-17 3.9306132890196820e-06
2.1001074466526680e-02 3.2473702246675729e-17 3.9265785560921110e-06
2.1051564045061456e-02 3.2551773658808081e-17 3.9225479647751673e-06
2.1102175007744681e-02 3.2630032765751030e-17 3.9185215108175445e-06
2.1152907646401164e-02 3.2708480018749660e-17 3.9144991899722743e-06
2.1203762253557294e-02 3.2787115870133935e-17 3.9104809979967677e-06
2.1254739122442745e-02 3.2865940773321272e-17 3.9064669306527895e-06
2.1305838546992154e-02 3.2944955182819168e-17 3.9024569837064363e-06
2.1357060821846813e-02 3.3024159554227825e-17 3.8984511529281769e-06
2.1408406242356386e-02 3.3103554344242768e-17 3.8944494340927949e-06
2.1459875104580601e-02 3.3183140010657522e-17 3.8904578851241148e-06
2.1511467705290922e-02 3.3262917012366126e-17 3.8866078089245701e-06
2.1563184341972332e-02 3.3342885809365940e-17 3.8827615428386879e-06
2.1615025312824998e-02 3.3423046862760197e-17 3.8789190830959097e-06
2.1666990916766004e-02 3.3503400634760705e-17 3.8750804259293874e-06
2.1719081453431068e-02 3.3583947588690466e-17 3.8712455675760198e-06
2.1771297223176281e-02 3.3664688188986401e-17 3.8674145042764323e-06
2.1823638527079831e-02 3.3745622901201997e-17 3.8635872322749486e-06
2.1876105666943740e-02 3.3826752192009997e-17 3.8597637478196295e-06
2.1928698945295602e-02 3.3908076529205084e-17 3.8559440471622492e-06
2.1981418665390336e-02 3.3989596381706587e-17 3.8521281265582715e-06
2.2034265131211931e-02 3.4071312219561220e-17 3.8483159822668838e-06
2.2087238647475187e-02 3.4153224513945692e-17 3.8445076105509793e-06
2.2140339519627492e-02 3.4235333737169539e-17 3.8407030076771257e-06
2.2193568053850567e-02 3.4317640362677786e-17 3.8369021699156072e-06
2.2246924557062241e-02 3.4400144865053670e-17 3.8331050935403989e-06
