# Figure-8-style primordial GW spectrum
# V_inf^(1/4) = 1.50000000e+16 GeV
# h = 0.675
# P_T = 9.7269832849655301e-11
# 
# Columns:
# 1: f [Hz]
# 2: k [Mpc^-1]
# 3: Omega_GW h^2
7.4731614142601122e-17 4.8329697109702530e-02 1.3484284679412430e-16
7.5452980517509842e-17 4.8796212102111727e-02 1.3458046066941060e-16
7.6181310069285787e-17 4.9267230252023612e-02 1.3431858511296292e-16
7.6916670011807728e-17 4.9742795027339151e-02 1.3405721913128331e-16
7.7659128207753997e-17 5.0222950315544600e-02 1.3379636173280798e-16
7.8408753174864974e-17 5.0707740427761543e-02 1.3354338797162974e-16
7.9165614092266484e-17 5.1197210102836239e-02 1.3329412865160310e-16
7.9929780806853826e-17 5.1691404511468309e-02 1.3304533457519198e-16
8.0701323839737679e-17 5.2190369260379323e-02 1.3279700487401668e-16
8.1480314392752119e-17 5.2694150396521616e-02 1.3254933675373776e-16
8.2266824355025446e-17 5.3202794411327727e-02 1.3231206480053758e-16
8.3060926309614533e-17 5.3716348245000850e-02 1.3207521757960049e-16
8.3862693540203100e-17 5.4234859290846725e-02 1.3183879433062811e-16
8.4672200037864721e-17 5.4758375399647320e-02 1.3160279429468296e-16
8.5489520507891094e-17 5.5286944884076761e-02 1.3137055189554874e-16
8.6314730376686175e-17 5.5820616523159811e-02 1.3114505819780515e-16
8.7147905798727007e-17 5.6359439566773521e-02 1.3091995155337746e-16
8.7989123663591478e-17 5.6903463740192173e-02 1.3069523129789974e-16
8.8838461603054179e-17 5.7452739248676235e-02 1.3047089676814720e-16
8.9695997998250712e-17 5.8007316782105529e-02 1.3025313150193491e-16
9.0561811986910858e-17 5.8567247519657140e-02 1.3003878145704166e-16
9.1435983470662094e-17 5.9132583134528495e-02 1.2982478415561939e-16
9.2318593122403103e-17 5.9703375798706035e-02 1.2961113901717909e-16
9.3209722393748772e-17 6.0279678187779878e-02 1.2939784546218624e-16
9.4109453522546862e-17 6.0861543485804998e-02 1.2919366814838402e-16
9.5017869540467460e-17 6.1449025390209321e-02 1.2898986522554413e-16
9.5935054280665415e-17 6.2042178116749183e-02 1.2878638380167493e-16
9.6861092385517003e-17 6.2641056404512632e-02 1.2858322336961225e-16
9.7796069314431049e-17 6.3245715520971038e-02 1.2838307088004511e-16
9.8740071351735597e-17 6.3856211267079424e-02 1.2818896047785726e-16
9.9693185614640659e-17 6.4472599982426063e-02 1.2799514356333862e-16
1.0065550006127776e-16 6.5094938550431775e-02 1.2780161969274679e-16
1.0162710349881729e-16 6.5723284403599466e-02 1.2760838842301034e-16
1.0260808559166389e-16 6.6357695528814167e-02 1.2742062594733975e-16
1.0359853686973132e-16 6.6998230472694487e-02 1.2723600008395904e-16
1.0459854873679688e-16 6.7644948346995498e-02 1.2705164173385707e-16
1.0560821347893663e-16 6.8297908834063892e-02 1.2686755050942106e-16
1.0662762427304200e-16 6.8957172192345734e-02 1.2668372602359974e-16
1.0765687519541871e-16 6.9622799261947491e-02 1.2650760032541138e-16
1.0869606123046850e-16 7.0294851470250566e-02 1.2633195991893233e-16
1.0974527827945476e-16 7.0973390837580183e-02 1.2615656336778120e-16
1.1080462316935282e-16 7.1658479982928902e-02 1.2598141033339497e-16
1.1187419366178567e-16 7.2350182129735430e-02 1.2580865242162740e-16
1.1295408846204575e-16 7.3048561111719187e-02 1.2564130513228235e-16
1.1404440722820411e-16 7.3753681378771196e-02 1.2547418044380544e-16
1.1514525058030728e-16 7.4465608002901848e-02 1.2530727806009899e-16
1.1625672010966304e-16 7.5184406684246072e-02 1.2514059768545917e-16
1.1737891838821564e-16 7.5910143757126444e-02 1.2497846565073120e-16
1.1851194897801183e-16 7.6642886196174903e-02 1.2481921097019342e-16
1.1965591644075801e-16 7.7382701622513456e-02 1.2466015922104180e-16
1.2081092634746955e-16 7.8129658309994576e-02 1.2450131014468960e-16
1.2197708528821373e-16 7.8883825191501944e-02 1.2434266348287955e-16
1.2315450088194609e-16 7.9645271865311826e-02 1.2419051695947957e-16
1.2434328178644229e-16 8.0414068601515967e-02 1.2403893556607730e-16
1.2554353770832539e-16 8.1190286348506516e-02 1.2388753918614806e-16
1.2675537941319022e-16 8.1973996739523422e-02 1.2373632759387219e-16
1.2797891873582539e-16 8.2765272099265180e-02 1.2358701052711806e-16
1.2921426859053397e-16 8.3564185450563253e-02 1.2344253789805946e-16
1.3046154298155370e-16 8.4370810521121040e-02 1.2329823415681892e-16
1.3172085701357798e-16 8.5185221750317772e-02 1.2315409910596734e-16
1.3299232690237820e-16 8.6007494296078180e-02 1.2301013254830652e-16
1.3427606998552879e-16 8.6837704041808489e-02 1.2286994395042710e-16
1.3557220473323569e-16 8.7675927603399220e-02 1.2273239102112886e-16
1.3688085075926939e-16 8.8522242336295770e-02 1.2259499208236525e-16
1.3820212883200334e-16 8.9376726342637103e-02 1.2245774696174402e-16
1.3953616088555937e-16 9.0239458478463444e-02 1.2232065548706537e-16
1.4088307003105999e-16 9.1110518360993487e-02 1.2218904940812937e-16
1.4224298056799008e-16 9.1989986375971874e-02 1.2205806237716475e-16
1.4361601799566754e-16 9.2877943685087574e-02 1.2192721576469395e-16
1.4500230902482523e-16 9.3774472233463926e-02 1.2179650942018794e-16
1.4640198158930425e-16 9.4679654757220899e-02 1.2166728981394739e-16
1.4781516485786054e-16 9.5593574791110428e-02 1.2154240742687317e-16
1.4924198924608509e-16 9.6516316676225400e-02 1.2141765322224324e-16
1.5068258642843932e-16 9.7447965567783082e-02 1.2129302706848792e-16
1.5213708935040669e-16 9.8388607442983639e-02 1.2116852883417279e-16
1.5360563224076164e-16 9.9338329108944579e-02 1.2104716480193747e-16
1.5508835062395670e-16 1.0029721821071169e-01 1.2092821189876695e-16
1.5658538133262969e-16 1.0126536323934751e-01 1.2080937589047144e-16
1.5809686252023095e-16 1.0224285354009749e-01 1.2069065666217802e-16
1.5962293367377304e-16 1.0322977932063537e-01 1.2057205409912741e-16
1.6116373562670321e-16 1.0422623165938799e-01 1.2045808015611110e-16
1.6271941057190031e-16 1.0523230251394042e-01 1.2034475811096728e-16
1.6429010207479698e-16 1.0624808472952227e-01 1.2023154267457835e-16
1.6587595508662852e-16 1.0727367204757590e-01 1.2011843374665067e-16
